°	l	t
0	-15	23
5	-11	22
10	-9	21
15	-7	20
20	-3	19
25	-1	17
30	1	15
35	4	14
40	8	13
45	9	10
50	12	9
55	15	7
60	16	4
65	17	1
70	18	-2
75	20	-4
80	21	-7
85	22	-11
90	23	-15
95	28	-11
100	33	-6
105	38	-4
110	43	-2
115	47	0
120	51	2
125	55	4
130	57	7
135	59	9
140	61	12
145	63	14
150	63	16
155	64	17
160	65	19
165	64	19
170	62	21
175	61	22
180	60	23
185	59	28
190	61	33
195	63	38
200	65	43
205	64	47
210	63	50
215	63	54
220	62	57
225	60	59
230	57	60
235	55	63
240	52	65
245	48	64
250	44	64
255	39	63
260	34	62
265	29	61
270	24	60
275	23	60
280	22	62
285	21	63
290	20	64
295	18	64
300	16	65
305	14	65
310	11	63
315	10	60
320	8	58
325	5	56
330	3	52
335	0	48
340	-2	44
345	-5	40
350	-8	35
355	-11	+29
360	-15	+23
